route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
TM35,A,7А,КВ. ОРЛАНДОВЦИ - КВ. МАНАСТИРСКИ ЛИВАДИ-ЗАПАД - КВ. ОРЛАНДОВЦИ,,0,,F7941D,FFFFFF,,,
A263,A,X1,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
A79,A,70,НСБАЛ ПО ОНКОЛОГИЯ - СЕЛО ПЛАНА - НСБАЛ ПО ОНКОЛОГИЯ,,3,,BE1E2D,FFFFFF,,,
A12,A,102,БАЛКАНКАР АД - Ж.К. ОВЧА КУПЕЛ-2 - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
A70,A,5,СЕЛО ДОЛНИ ЛОЗЕН - АВТОСТАНЦИЯ ГЕО МИЛЕВ - СЕЛО ДОЛНИ ЛОЗЕН,,3,,BE1E2D,FFFFFF,,,
TM49,A,6A,Ж.К. ОБЕЛЯ-2 - ТРИЪГЪЛНИКА - Ж.К. ОБЕЛЯ-2,,0,,F7941D,FFFFFF,,,
A246,A,109,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН,,3,,BE1E2D,FFFFFF,,,
A28,A,98,Зоопарка - КМЕТСТВО ЖЕЛЕЗНИЦА - Зоопарка,,3,,BE1E2D,FFFFFF,,,
A242,A,Y1,БАЛКАНКАР АД - СУ СВ. КЛИМЕНТ ОХРИДСКИ - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
TM25,A,5,Кв. Княжево - СЪДЕБНА ПАЛАТА - Кв. Княжево,,0,,F7941D,FFFFFF,,,
A174,A,42A,Края на кв. Михайлово - Автостанция Банкя - Края на кв. Михайлово,,3,,BE1E2D,FFFFFF,,,
A108,A,260,Кв.Горна баня - Бул. Прага - Кв.Горна баня,,3,,BE1E2D,FFFFFF,,,
A48,A,26,НАЧАЛО КВ. ГНИЛЯНЕ - Ж.К. ОБЕЛЯ-1 - НАЧАЛО КВ. ГНИЛЯНЕ,,3,,BE1E2D,FFFFFF,,,
TB3,A,5,УМБАЛ СВ. АННА-УХО - Пл. Руски паметник - УМБАЛ СВ. АННА-УХО,,11,,27AAE1,FFFFFF,,,
A217,A,304,Ж.К. ДРУЖБА-2 - НИМ-ВРЕМЕННА - Ж.К. ДРУЖБА-2,,3,,BE1E2D,FFFFFF,,,
TB21,A,9А,АВТОБАЗА ИСКЪР - УЛ. ГЕН. ГУРКО - АВТОБАЗА ИСКЪР,,11,,27AAE1,FFFFFF,,,
A125,A,5TM,Автостанция Княжево - Бул. Братя Бъкстон - Автостанция Княжево,,3,,BE1E2D,FFFFFF,,,
A24,A,58,АВТОСТАНЦИЯ КНЯЖЕВО - ГАРА ВЛАДАЯ - АВТОСТАНЦИЯ КНЯЖЕВО,,3,,BE1E2D,FFFFFF,,,
TB8,A,9,УЛ. ПОП БОГОМИЛ - Ж.К. БОРОВО - УЛ. ПОП БОГОМИЛ,,11,,27AAE1,FFFFFF,,,
TB43,A,288,АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЗООПАРКА - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,11,,27AAE1,FFFFFF,,,
A257,A,49A,МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА,,3,,BE1E2D,FFFFFF,,,
A27,A,81,КВ. ИВАНЯНЕ - СЕВЕРНА ПРОМИШЛЕНА ЗОНА - КВ. ИВАНЯНЕ,,3,,BE1E2D,FFFFFF,,,
A253,A,802,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A119,A,83А,Зоопарка - Ул. Хан Кубрат - Зоопарка,,3,,BE1E2D,FFFFFF,,,
A251,A,X10,Ж.К. БЪКСТОН - Ж.К. МЛАДОСТ-1 - Ж.К. БЪКСТОН,,3,,BE1E2D,FFFFFF,,,
A106,A,68,КВ. СИМЕОНОВО - МЕТРОСТАНЦИЯ ВИТОША - КВ. СИМЕОНОВО,,3,,BE1E2D,FFFFFF,,,
TM37,A,3A,Гара Захарна фабрика - Метростанция К. Величков - Гара Захарна фабрика,,0,,F7941D,FFFFFF,,,
A259,A,X43,ПЛ. СТОЧНА ГАРА - АВТОСТАНЦИЯ БАНКЯ - ПЛ. СТОЧНА ГАРА,,3,,006838,FFFFFF,,,
A208,A,11Tm,КВ. ПАВЛОВО - Ж.К. ЗАПАДЕН ПАРК - КВ. ПАВЛОВО,,3,,BE1E2D,FFFFFF,,,
A110,A,90,АП Малашевци - Град Бухово - АП Малашевци,,3,,BE1E2D,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
A43,A,22,СЕЛО ПОДГУМЕР - ЦЕНТРАЛНА ГАРА - СЕЛО ПОДГУМЕР,,3,,BE1E2D,FFFFFF,,,
M2,A,M2,Витоша - Летище София - Витоша,,1,,1C75BC,FFFFFF,,,
A61,A,61,ЗЛАТНИ МОСТОВЕ - БУЛ. ЧЕРНИ ВРЪХ - ЗЛАТНИ МОСТОВЕ,,3,,BE1E2D,FFFFFF,,,
