trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A77-A3578-2-14-17544279430,A77,17544279430,КВ. СИМЕОНОВО,,,A77217544279430,A3578,0,0
A77-A1725-3-8-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77317544279430,A1725,0,0
A99-A3861-5-2-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A3861,0,0
A77-A1725-1-17-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77117544279430,A1725,0,0
A57-A141-5-15-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5756039780360,A141,0,0
A77-A2546-3-2-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77317544279430,A2546,0,0
A77-A1725-1-5-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77117544279430,A1725,0,0
A77-A3578-3-11-17544279430,A77,17544279430,КВ. СИМЕОНОВО,,,A77317544279430,A3578,0,0
A99-A3861-2-2-12457803130,A99,12457803130,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99212457803130,A3861,0,0
A77-A3578-3-5-17544279430,A77,17544279430,КВ. СИМЕОНОВО,,,A77317544279430,A3578,0,0
A77-A3578-1-6-17544279430,A77,17544279430,КВ. СИМЕОНОВО,,,A77117544279430,A3578,0,0
A77-A2546-4-2-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77417544279430,A2546,0,0
A77-A1725-2-17-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77217544279430,A1725,0,0
A77-A1725-3-10-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77317544279430,A1725,0,0
A77-A1725-1-15-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77117544279430,A1725,0,0
A77-A1725-1-9-17544279430,A77,17544279430,СЕМИНАРИЯТА,,,A77117544279430,A1725,0,0
